announced_at_utc,channel_name,symbol,exchange,is_success,pump_date_utc,label,label_numeric,reason_codes,source_repo,source_url,notes
2021-09-05T17:00:38Z,Binance whales pumps,VIB,Binance,1,2021-09-05T17:00:00Z,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-09-05T17:39:07Z,Binance Moon Pump™,NXS,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-09-06T11:06:07Z,Crypto Trader,SFP,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-09-06T16:53:31Z,Crypto Trader,ALGO,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-09-07T14:28:03Z,Binance Moon Pump™,ADX,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-09-08T08:26:51Z,Crypto VIP Signal™,NEAR,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-09-09T14:00:08Z,Binance Pump Tracker™,FUN,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-09-09T17:48:20Z,Binance Waves,SOL,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-09-10T12:13:12Z,Binance Moon Pump™,OAX,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-09-10T12:16:15Z,Yo Crypto 2.0,AVAX,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-09-10T17:41:18Z,Binance Moon Pump™,QLC,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-09-11T07:24:08Z,Crypto Trader,ALGO,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-09-11T11:42:18Z,Binance Moon Pump™,PHB,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-09-11T12:22:44Z,WhalePump Reborn: Best Signals! (100% FREE),ROSE,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-09-11T16:00:15Z,Binance Moon Pump™,DLT,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-09-12T12:40:38Z,Binance Moon Pump™,GTO,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-09-13T18:10:41Z,Binance Moon Pump™,RDN,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-09-14T12:30:23Z,Crypto Trader,CHZ,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-09-15T15:29:50Z,Binance Moon Pump™,PIVX,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-09-15T17:00:05Z,Binance Trading Signals,CTXC,Binance,1,2021-09-15T17:01:00Z,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-09-18T12:47:05Z,Binance Moon Pump™,AION,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-09-19T14:51:19Z,Binance Moon Pump™,BRD,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
